method,split,recall@10,mrr@10,ndcg@10,recall@100,delta_recall@10,delta_mrr@10,delta_ndcg@10
Source candidate order,all_selected,0.4897,0.8817,0.6630,0.7972,,,
Source candidate order,held_out_test,0.4467,0.7817,0.5940,0.7655,,,
retrieval_ltr,all_selected,0.4892,0.8812,0.6672,0.7972,-0.0005,-0.0005,+0.0041
retrieval_ltr,held_out_test,0.4235,0.7767,0.5775,0.7655,-0.0232,-0.0050,-0.0165
flat_evidence_unit_ltr,all_selected,0.4975,0.8820,0.6693,0.7972,+0.0078,+0.0003,+0.0062
flat_evidence_unit_ltr,held_out_test,0.4373,0.7767,0.5851,0.7655,-0.0095,-0.0050,-0.0089
evidence_unit_hypergraph_ltr,all_selected,0.4976,0.8820,0.6688,0.7972,+0.0079,+0.0003,+0.0058
evidence_unit_hypergraph_ltr,held_out_test,0.4323,0.7767,0.5818,0.7655,-0.0145,-0.0050,-0.0122
without_evidence_quality,all_selected,0.4980,0.8820,0.6692,0.7972,+0.0084,+0.0003,+0.0061
without_evidence_quality,held_out_test,0.4298,0.7767,0.5790,0.7655,-0.0170,-0.0050,-0.0150
without_major_mesh,all_selected,0.4976,0.8820,0.6688,0.7972,+0.0079,+0.0003,+0.0058
without_major_mesh,held_out_test,0.4323,0.7767,0.5818,0.7655,-0.0145,-0.0050,-0.0122
without_cluster_support,all_selected,0.4976,0.8820,0.6696,0.7972,+0.0079,+0.0003,+0.0065
without_cluster_support,held_out_test,0.4348,0.7767,0.5814,0.7655,-0.0120,-0.0050,-0.0126
gated_evidence_unit_hypergraph,all_selected,0.4894,0.8817,0.6624,0.7972,-0.0003,+0.0000,-0.0007
gated_evidence_unit_hypergraph,held_out_test,0.4360,0.7817,0.5832,0.7655,-0.0107,+0.0000,-0.0108
hyperpath_score_only,all_selected,0.3285,0.5093,0.3914,0.7972,-0.1612,-0.3724,-0.2717
hyperpath_score_only,held_out_test,0.2830,0.4627,0.3726,0.7655,-0.1637,-0.3190,-0.2214
