feature,auc_all,auc_test,gold_mean,non_gold_mean,top_decile_gold_rate,base_gold_rate
evidence_unit_rare_entity_overlap,0.6741,0.5906,1.1792,0.5633,0.2350,0.0904
evidence_unit_entity_overlap,0.6707,0.5906,1.1869,0.5782,0.2360,0.0904
query_concept_coverage,0.6685,0.5961,0.2427,0.1214,0.2090,0.0904
unit_token_count,0.6607,0.6094,1.0188,0.4716,0.2280,0.0904
evidence_unit_match,0.6594,0.5838,0.1834,0.0944,0.2180,0.0904
hyperedge_quality,0.6483,0.6410,0.2461,0.1767,0.1770,0.0904
useful_mesh_overlap,0.6464,0.6182,0.8308,0.4049,0.2080,0.0904
hyperpath_score,0.6391,0.5753,0.7575,0.4331,0.1610,0.0904
mesh_specificity_score,0.6376,0.6501,0.3841,0.2152,0.1260,0.0904
cluster_support,0.6297,0.5960,2.4063,1.4265,0.1280,0.0904
hyperedge_degree,0.6297,0.5960,28.8905,17.7764,0.1280,0.0904
specific_mesh_overlap,0.6223,0.6144,0.7002,0.3342,0.2060,0.0904
evidence_unit_category_count,0.5594,0.4804,0.2799,0.1459,0.1450,0.0904
counterfactual_drop,0.5590,0.4805,0.0811,0.0433,0.1510,0.0904
gene_overlap,0.5435,0.4956,0.2644,0.1406,0.1530,0.0904
disease_overlap,0.5279,0.5000,0.0653,0.0095,0.1020,0.0904
major_mesh_overlap,0.5259,0.5020,0.1007,0.0452,0.1090,0.0904
broad_concept_penalty,0.5125,0.4695,0.0725,0.0602,0.1010,0.0904
intervention_overlap,0.5000,0.4963,0.0044,0.0045,0.0620,0.0904
evidence_quality_score,0.4986,0.4630,0.5450,0.5447,0.1050,0.0904
outcome_overlap,0.4970,0.4885,0.0011,0.0073,0.0590,0.0904
