feature,auc_all,auc_test,gold_mean,non_gold_mean,top_decile_gold_rate,base_gold_rate
evidence_unit_rare_entity_overlap,0.6447,0.6194,1.1418,0.6483,0.2066,0.0886
evidence_unit_entity_overlap,0.6435,0.6181,1.1500,0.6566,0.2084,0.0886
query_concept_coverage,0.6414,0.6009,0.2248,0.1309,0.1840,0.0886
unit_token_count,0.6411,0.6217,0.9575,0.5076,0.2188,0.0886
evidence_unit_match,0.6365,0.6075,0.1649,0.0946,0.1686,0.0886
hyperedge_quality,0.6234,0.6153,0.2414,0.1841,0.1696,0.0886
hyperpath_score,0.6168,0.5967,0.7389,0.4669,0.1438,0.0886
useful_mesh_overlap,0.6151,0.6075,0.8121,0.4814,0.1726,0.0886
mesh_specificity_score,0.6143,0.6059,0.3912,0.2490,0.1458,0.0886
specific_mesh_overlap,0.6086,0.6034,0.6888,0.3772,0.1712,0.0886
cluster_support,0.5990,0.5657,2.3534,1.5700,0.1024,0.0886
hyperedge_degree,0.5990,0.5657,28.2590,20.3253,0.1024,0.0886
counterfactual_drop,0.5556,0.5611,0.0775,0.0396,0.1520,0.0886
evidence_unit_category_count,0.5552,0.5559,0.2554,0.1366,0.1648,0.0886
gene_overlap,0.5406,0.5392,0.2234,0.1244,0.1530,0.0886
major_mesh_overlap,0.5181,0.5012,0.0960,0.0565,0.1188,0.0886
disease_overlap,0.5160,0.5100,0.0447,0.0126,0.1116,0.0886
broad_concept_penalty,0.5107,0.4997,0.0689,0.0615,0.1088,0.0886
outcome_overlap,0.5037,0.5085,0.0136,0.0056,0.0932,0.0886
intervention_overlap,0.4997,0.5004,0.0014,0.0019,0.0892,0.0886
evidence_quality_score,0.4900,0.4813,0.5465,0.5479,0.0970,0.0886
