method,split,recall@10,mrr@10,ndcg@10,recall@100,delta_recall@10,delta_mrr@10,delta_ndcg@10
Source candidate order,all_selected,0.0000,0.0000,0.0000,0.7951,,,
Source candidate order,held_out_test,0.0000,0.0000,0.0000,0.7358,,,
retrieval_ltr,all_selected,0.4802,0.4014,0.3720,0.7951,+0.4802,+0.4014,+0.3720
retrieval_ltr,held_out_test,0.2500,0.2634,0.2387,0.7358,+0.2500,+0.2634,+0.2387
flat_evidence_unit_ltr,all_selected,0.5118,0.5331,0.4494,0.7951,+0.5118,+0.5331,+0.4494
flat_evidence_unit_ltr,held_out_test,0.2667,0.3100,0.2488,0.7358,+0.2667,+0.3100,+0.2488
evidence_unit_hypergraph_ltr,all_selected,0.5110,0.5100,0.4438,0.7951,+0.5110,+0.5100,+0.4438
evidence_unit_hypergraph_ltr,held_out_test,0.3167,0.2643,0.2481,0.7358,+0.3167,+0.2643,+0.2481
without_evidence_quality,all_selected,0.5077,0.5096,0.4451,0.7951,+0.5077,+0.5096,+0.4451
without_evidence_quality,held_out_test,0.3167,0.2518,0.2408,0.7358,+0.3167,+0.2518,+0.2408
without_major_mesh,all_selected,0.5341,0.5446,0.4563,0.7951,+0.5341,+0.5446,+0.4563
without_major_mesh,held_out_test,0.3333,0.2806,0.2567,0.7358,+0.3333,+0.2806,+0.2567
without_cluster_support,all_selected,0.5002,0.4981,0.4242,0.7951,+0.5002,+0.4981,+0.4242
without_cluster_support,held_out_test,0.2833,0.2646,0.2487,0.7358,+0.2833,+0.2646,+0.2487
gated_evidence_unit_hypergraph,all_selected,0.4689,0.4494,0.4064,0.7951,+0.4689,+0.4494,+0.4064
gated_evidence_unit_hypergraph,held_out_test,0.3000,0.2143,0.2247,0.7358,+0.3000,+0.2143,+0.2247
hyperpath_score_only,all_selected,0.1817,0.0925,0.1019,0.7951,+0.1817,+0.0925,+0.1019
hyperpath_score_only,held_out_test,0.1750,0.0900,0.1098,0.7358,+0.1750,+0.0900,+0.1098
