method,split,recall@10,mrr@10,ndcg@10,recall@100,delta_recall@10,delta_mrr@10,delta_ndcg@10
Source candidate order,all_selected,0.4592,0.8142,0.6126,0.7790,,,
Source candidate order,held_out_test,0.4698,0.8128,0.6000,0.8016,,,
retrieval_ltr,all_selected,0.4613,0.8142,0.6131,0.7790,+0.0021,+0.0000,+0.0004
retrieval_ltr,held_out_test,0.4706,0.8128,0.6000,0.8016,+0.0008,+0.0000,+0.0000
flat_evidence_unit_ltr,all_selected,0.4626,0.8142,0.6138,0.7790,+0.0034,+0.0000,+0.0012
flat_evidence_unit_ltr,held_out_test,0.4690,0.8128,0.5992,0.8016,-0.0008,+0.0000,-0.0008
evidence_unit_hypergraph_ltr,all_selected,0.4621,0.8145,0.6135,0.7790,+0.0030,+0.0003,+0.0009
evidence_unit_hypergraph_ltr,held_out_test,0.4640,0.8128,0.5960,0.8016,-0.0058,+0.0000,-0.0040
without_evidence_quality,all_selected,0.4624,0.8145,0.6138,0.7790,+0.0032,+0.0003,+0.0011
without_evidence_quality,held_out_test,0.4631,0.8128,0.5954,0.8016,-0.0067,+0.0000,-0.0046
without_major_mesh,all_selected,0.4624,0.8145,0.6137,0.7790,+0.0032,+0.0003,+0.0011
without_major_mesh,held_out_test,0.4641,0.8128,0.5957,0.8016,-0.0057,+0.0000,-0.0043
without_cluster_support,all_selected,0.4626,0.8142,0.6138,0.7790,+0.0034,+0.0000,+0.0012
without_cluster_support,held_out_test,0.4690,0.8128,0.5992,0.8016,-0.0008,+0.0000,-0.0008
gated_evidence_unit_hypergraph,all_selected,0.4591,0.8140,0.6126,0.7790,-0.0000,-0.0002,+0.0000
gated_evidence_unit_hypergraph,held_out_test,0.4698,0.8128,0.6000,0.8016,+0.0000,+0.0000,+0.0000
hyperpath_score_only,all_selected,0.2792,0.4552,0.3405,0.7790,-0.1800,-0.3590,-0.2721
hyperpath_score_only,held_out_test,0.2954,0.5045,0.3540,0.8016,-0.1744,-0.3083,-0.2459
