feature,auc_all,auc_test,gold_mean,non_gold_mean,top_decile_gold_rate,base_gold_rate
query_concept_coverage,0.5907,0.6172,0.2035,0.1448,0.0350,0.0223
evidence_unit_rare_entity_overlap,0.5666,0.6258,0.8565,0.6631,0.0320,0.0223
evidence_unit_entity_overlap,0.5653,0.6258,0.8655,0.6780,0.0300,0.0223
evidence_unit_match,0.5649,0.5905,0.1358,0.1102,0.0190,0.0223
hyperpath_score,0.5633,0.5871,0.6762,0.5338,0.0300,0.0223
specific_mesh_overlap,0.5631,0.5697,0.5650,0.4017,0.0360,0.0223
hyperedge_quality,0.5625,0.5825,0.2270,0.1985,0.0280,0.0223
unit_token_count,0.5606,0.6111,0.6996,0.5337,0.0310,0.0223
mesh_specificity_score,0.5596,0.5506,0.3526,0.2692,0.0400,0.0223
useful_mesh_overlap,0.5554,0.5487,0.6861,0.5188,0.0360,0.0223
cluster_support,0.5535,0.5749,2.0645,1.7181,0.0370,0.0223
hyperedge_degree,0.5535,0.5749,29.0045,23.8731,0.0370,0.0223
major_mesh_overlap,0.5066,0.5042,0.0807,0.0684,0.0330,0.0223
gene_overlap,0.5041,0.5349,0.1659,0.1385,0.0230,0.0223
counterfactual_drop,0.5029,0.5479,0.0431,0.0428,0.0210,0.0223
broad_concept_penalty,0.5023,0.5135,0.0426,0.0440,0.0290,0.0223
outcome_overlap,0.4997,0.5034,0.0135,0.0141,0.0240,0.0223
disease_chemical_gene_category_count,0.4997,0.5287,0.1390,0.1398,0.0200,0.0223
chemical_overlap,0.4996,0.5000,0.0000,0.0007,0.0230,0.0223
intervention_overlap,0.4991,0.5044,0.0045,0.0062,0.0230,0.0223
evidence_unit_category_count,0.4983,0.5319,0.1570,0.1601,0.0180,0.0223
disease_overlap,0.4973,0.5000,0.0000,0.0057,0.0220,0.0223
evidence_quality_score,0.4877,0.4895,0.5401,0.5437,0.0280,0.0223
