feature,auc_all,auc_test,gold_mean,non_gold_mean,top_decile_gold_rate,base_gold_rate
evidence_unit_rare_entity_overlap,0.6747,0.5894,1.1991,0.5721,0.2470,0.0904
evidence_unit_entity_overlap,0.6714,0.5894,1.2069,0.5870,0.2440,0.0904
query_concept_coverage,0.6690,0.5958,0.2412,0.1199,0.2090,0.0904
unit_token_count,0.6626,0.6079,1.0387,0.4804,0.2250,0.0904
evidence_unit_match,0.6614,0.5835,0.1866,0.0940,0.2250,0.0904
hyperedge_quality,0.6501,0.6404,0.2475,0.1765,0.1810,0.0904
useful_mesh_overlap,0.6464,0.6182,0.8308,0.4049,0.1980,0.0904
hyperpath_score,0.6414,0.5760,0.7626,0.4331,0.1670,0.0904
mesh_specificity_score,0.6376,0.6501,0.3841,0.2152,0.1610,0.0904
cluster_support,0.6307,0.5960,2.4154,1.4310,0.1280,0.0904
hyperedge_degree,0.6307,0.5960,28.9170,17.8027,0.1280,0.0904
specific_mesh_overlap,0.6223,0.6144,0.7002,0.3342,0.1940,0.0904
disease_chemical_gene_category_count,0.5670,0.4929,0.2920,0.1418,0.2000,0.0904
evidence_unit_category_count,0.5644,0.4777,0.3009,0.1545,0.1870,0.0904
counterfactual_drop,0.5644,0.4780,0.0861,0.0447,0.1590,0.0904
gene_overlap,0.5429,0.4956,0.2655,0.1429,0.1760,0.0904
disease_overlap,0.5323,0.4973,0.0808,0.0150,0.1260,0.0904
major_mesh_overlap,0.5259,0.5020,0.1007,0.0452,0.1180,0.0904
broad_concept_penalty,0.5125,0.4695,0.0725,0.0602,0.1010,0.0904
chemical_overlap,0.5012,0.5000,0.0033,0.0010,0.0590,0.0904
intervention_overlap,0.5011,0.4963,0.0077,0.0055,0.0630,0.0904
evidence_quality_score,0.4986,0.4630,0.5450,0.5447,0.0920,0.0904
outcome_overlap,0.4970,0.4885,0.0011,0.0073,0.0570,0.0904
