feature,auc_all,auc_test,gold_mean,non_gold_mean,top_decile_gold_rate,base_gold_rate
evidence_unit_rare_entity_overlap,0.6461,0.6216,1.1538,0.6518,0.2090,0.0886
evidence_unit_entity_overlap,0.6450,0.6202,1.1619,0.6601,0.2106,0.0886
unit_token_count,0.6427,0.6238,0.9695,0.5111,0.2182,0.0886
query_concept_coverage,0.6422,0.6056,0.2226,0.1290,0.1936,0.0886
evidence_unit_match,0.6376,0.6107,0.1647,0.0939,0.1718,0.0886
hyperedge_quality,0.6240,0.6168,0.2413,0.1838,0.1698,0.0886
hyperpath_score,0.6176,0.5978,0.7387,0.4660,0.1450,0.0886
useful_mesh_overlap,0.6151,0.6075,0.8121,0.4814,0.1710,0.0886
mesh_specificity_score,0.6143,0.6059,0.3912,0.2490,0.1454,0.0886
specific_mesh_overlap,0.6086,0.6034,0.6888,0.3772,0.1738,0.0886
cluster_support,0.5997,0.5668,2.3587,1.5721,0.1026,0.0886
hyperedge_degree,0.5997,0.5668,28.2742,20.3339,0.1026,0.0886
counterfactual_drop,0.5582,0.5637,0.0787,0.0399,0.1536,0.0886
evidence_unit_category_count,0.5579,0.5582,0.2687,0.1405,0.1560,0.0886
disease_chemical_gene_category_count,0.5563,0.5513,0.2516,0.1324,0.1566,0.0886
gene_overlap,0.5412,0.5426,0.2252,0.1249,0.1520,0.0886
major_mesh_overlap,0.5181,0.5012,0.0960,0.0565,0.1366,0.0886
disease_overlap,0.5179,0.5095,0.0519,0.0149,0.1372,0.0886
broad_concept_penalty,0.5107,0.4997,0.0689,0.0615,0.1268,0.0886
outcome_overlap,0.5037,0.5085,0.0136,0.0056,0.1156,0.0886
chemical_overlap,0.5011,0.4994,0.0029,0.0007,0.1108,0.0886
intervention_overlap,0.5008,0.4998,0.0043,0.0026,0.1102,0.0886
evidence_quality_score,0.4900,0.4813,0.5465,0.5479,0.0946,0.0886
