feature,importance
hybrid_score,365.0000
base_rank_score,363.0000
source_reason_shared_candidate_concept,302.0000
hypergraph_x_inverse_rank,253.0000
source_reason_shared_x_inverse_rank,240.0000
shared_mesh_parent_cluster_size,206.0000
local_num_nodes,196.0000
mesh_specificity_x_inverse_rank,176.0000
shared_mesh_term_cluster_size,173.0000
hypergraph_score_norm,171.0000
source_reason_hierarchy_x_specificity,168.0000
passage_mesh_specificity,159.0000
local_num_hyperedges,136.0000
local_primekg_relation_edges,126.0000
hypergraph_degree_centrality,122.0000
passage_mesh_count,120.0000
source_reason_total,117.0000
passage_mesh_hierarchy_coverage,115.0000
mesh_tree_similarity_mean,112.0000
question_mesh_hierarchy_coverage,106.0000
hypergraph_degree_centrality_norm,106.0000
source_reason_mesh_hierarchy,99.0000
mesh_jaccard,98.0000
passage_entity_count,95.0000
local_document_mesh_edges,80.0000
source_reason_knowledge_total,60.0000
question_mesh_coverage,53.0000
entity_jaccard,49.0000
source_reason_direct_mesh,43.0000
rank_percentile,42.0000
