method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3594,0.4487,0.7387,0.5683,0.4487,0.5853,0.7404,0.5669,-0.0163,-0.0149
Dense,0.3358,0.4205,0.7196,0.5362,0.4205,0.5648,0.7213,0.5400,-0.0354,-0.0431
Hybrid RRF,0.3690,0.4636,0.7550,0.5848,0.4636,0.6077,0.7564,0.5880,,
Biomedical semantic reranker only,0.3358,0.4205,0.7196,0.5362,0.4205,0.6077,0.7215,0.5551,-0.0354,-0.0431
Retrieval-feature-only LambdaMART,0.3823,0.4760,0.7645,0.5994,0.4760,0.6077,0.7654,0.5969,+0.0094,+0.0124
LambdaMART + biomedical semantic without hypergraph,0.3827,0.4766,0.7655,0.6009,0.4766,0.6077,0.7663,0.5982,+0.0104,+0.0130
Pairwise graph LTR,0.3843,0.4751,0.7647,0.6000,0.4751,0.6077,0.7657,0.5979,+0.0097,+0.0115
Hypergraph LTR without medical knowledge,0.3819,0.4759,0.7651,0.6001,0.4759,0.6077,0.7661,0.5973,+0.0101,+0.0123
Full KCH-MedRank,0.3828,0.4768,0.7664,0.6013,0.4768,0.6077,0.7673,0.5982,+0.0114,+0.0132
Remove biomedical semantic reranker,0.3830,0.4741,0.7608,0.5985,0.4741,0.6077,0.7618,0.5966,+0.0057,+0.0105
Remove MeSH hierarchy features,0.3820,0.4760,0.7651,0.6007,0.4760,0.6077,0.7659,0.5981,+0.0100,+0.0124
Remove biomedical entity features,0.3822,0.4758,0.7637,0.5995,0.4758,0.6077,0.7645,0.5971,+0.0087,+0.0122
Remove hypergraph diffusion and centrality,0.3822,0.4765,0.7655,0.6012,0.4765,0.6077,0.7664,0.5981,+0.0105,+0.0129
Remove PrimeKG relation features,0.3821,0.4767,0.7655,0.6003,0.4767,0.6077,0.7663,0.5974,+0.0105,+0.0131
