feature,importance
biomedical_semantic_score,505.0000
hybrid_score,416.0000
dense_score,376.0000
bm25_rank_score,349.0000
biomedical_semantic_rank_score,304.0000
passage_entity_count,246.0000
dense_rank_score,242.0000
bm25_score,215.0000
shared_mesh_term_cluster_size,197.0000
base_rank_score,188.0000
shared_mesh_parent_cluster_size,174.0000
local_num_nodes,163.0000
hypergraph_degree_centrality,149.0000
passage_mesh_specificity,135.0000
hypergraph_score_norm,130.0000
passage_mesh_count,114.0000
hypergraph_degree_centrality_norm,101.0000
mesh_overlap_count,97.0000
local_num_hyperedges,83.0000
question_entity_coverage,66.0000
passage_mesh_hierarchy_coverage,61.0000
local_primekg_relation_edges,59.0000
mesh_jaccard,54.0000
local_document_mesh_edges,51.0000
mesh_tree_similarity_mean,47.0000
question_mesh_coverage,38.0000
mesh_tree_distance_min,34.0000
question_mesh_hierarchy_coverage,30.0000
mesh_sibling_match_count,23.0000
local_shared_entity_edges,23.0000
