method,recall@5,recall@10,mrr@10,ndcg@10,evidence_coverage@10,recall@100,mrr@100,ndcg@100,delta_mrr@10,delta_recall@10
BM25,0.3594,0.4487,0.7387,0.5683,0.4487,0.5853,0.7404,0.5669,-0.0143,-0.0173
Dense,0.3358,0.4205,0.7196,0.5362,0.4205,0.5648,0.7213,0.5400,-0.0334,-0.0454
Hybrid RRF,0.3679,0.4660,0.7530,0.5844,0.4660,0.7388,0.7556,0.6304,,
Biomedical semantic reranker only,0.0564,0.0875,0.1658,0.1010,0.0875,0.7388,0.1957,0.3455,-0.5872,-0.3785
Retrieval-feature-only LambdaMART,0.4023,0.5208,0.7791,0.6282,0.5208,0.7388,0.7805,0.6620,+0.0261,+0.0548
LambdaMART + biomedical semantic without hypergraph,0.4196,0.5309,0.7872,0.6436,0.5309,0.7388,0.7887,0.6732,+0.0342,+0.0649
Pairwise graph LTR,0.4156,0.5306,0.7866,0.6409,0.5306,0.7388,0.7882,0.6710,+0.0336,+0.0646
Hypergraph LTR without medical knowledge,0.4091,0.5266,0.7782,0.6362,0.5266,0.7388,0.7798,0.6673,+0.0252,+0.0606
Full KCH-MedRank,0.4210,0.5329,0.7867,0.6433,0.5329,0.7388,0.7882,0.6730,+0.0337,+0.0669
Remove biomedical semantic reranker,0.4126,0.5276,0.7852,0.6374,0.5276,0.7388,0.7867,0.6686,+0.0322,+0.0616
Remove MeSH hierarchy features,0.4220,0.5332,0.7871,0.6440,0.5332,0.7388,0.7885,0.6737,+0.0341,+0.0672
Remove biomedical entity features,0.4154,0.5313,0.7842,0.6403,0.5313,0.7388,0.7856,0.6701,+0.0312,+0.0653
Remove hypergraph diffusion and centrality,0.4188,0.5328,0.7880,0.6453,0.5328,0.7388,0.7893,0.6741,+0.0350,+0.0668
Remove PrimeKG relation features,0.4190,0.5338,0.7863,0.6439,0.5338,0.7388,0.7876,0.6729,+0.0333,+0.0679
