feature,importance
base_rank_score,142.0000
hybrid_score,100.0000
hypergraph_x_inverse_rank,65.0000
mesh_specificity_x_inverse_rank,64.0000
hypergraph_score_norm,33.0000
rank_percentile,19.0000
mesh_overlap_count,14.0000
hypergraph_degree_centrality_norm,10.0000
question_mesh_hierarchy_coverage,7.0000
passage_mesh_specificity,4.0000
hypergraph_degree_centrality,4.0000
mesh_jaccard,3.0000
question_mesh_coverage,3.0000
local_num_hyperedges,3.0000
passage_mesh_count,2.0000
local_primekg_relation_edges,2.0000
mesh_hierarchy_exact_count,1.0000
mesh_ancestor_match_count,1.0000
passage_mesh_hierarchy_coverage,1.0000
shared_mesh_parent_cluster_size,1.0000
mesh_fallback_specificity,1.0000
bm25_score,0.0000
dense_score,0.0000
bm25_rank_score,0.0000
dense_rank_score,0.0000
biomedical_semantic_score,0.0000
biomedical_semantic_rank_score,0.0000
entity_overlap_count,0.0000
entity_jaccard,0.0000
question_entity_coverage,0.0000
