feature,importance
hybrid_score,133.0000
medcpt_rank_score,113.0000
hypergraph_x_inverse_rank,106.0000
bm25_rank_score,95.0000
dense_rank_score,78.0000
base_rank_score,73.0000
medcpt_score,66.0000
fielded_bm25_rank_score,56.0000
dense_score,50.0000
mesh_specificity_x_inverse_rank,40.0000
hypergraph_degree_centrality_norm,35.0000
bm25_score,18.0000
mesh_overlap_count,18.0000
biomedical_semantic_score,17.0000
fielded_bm25_score,14.0000
passage_entity_count,10.0000
biomedical_semantic_rank_score,8.0000
rank_percentile,7.0000
hypergraph_score_norm,7.0000
mesh_cluster_x_inverse_semantic,7.0000
source_reason_shared_x_inverse_rank,3.0000
question_entity_coverage,1.0000
passage_mesh_count,1.0000
mesh_hierarchy_exact_count,1.0000
mesh_tree_distance_min,1.0000
shared_mesh_parent_cluster_size,1.0000
entity_overlap_x_semantic_score,1.0000
entity_overlap_count,0.0000
entity_jaccard,0.0000
mesh_jaccard,0.0000
