feature,importance
base_rank_score,247.0000
hybrid_score,233.0000
passage_entity_count,186.0000
bm25_rank_score,184.0000
medcpt_rank_score,159.0000
fielded_bm25_rank_score,114.0000
dense_rank_score,105.0000
dense_score,104.0000
passage_mesh_count,99.0000
medcpt_score,92.0000
bm25_score,87.0000
fielded_bm25_score,72.0000
shared_mesh_parent_cluster_size,68.0000
passage_mesh_specificity,59.0000
biomedical_semantic_rank_score,54.0000
mesh_overlap_count,52.0000
shared_mesh_term_cluster_size,46.0000
biomedical_semantic_score,42.0000
question_entity_coverage,28.0000
rank_percentile,26.0000
mesh_jaccard,26.0000
mesh_sibling_match_count,20.0000
passage_mesh_hierarchy_coverage,20.0000
local_primekg_relation_edges,18.0000
question_mesh_hierarchy_coverage,15.0000
mesh_tree_distance_min,14.0000
question_mesh_coverage,12.0000
entity_jaccard,8.0000
mesh_hierarchy_exact_count,7.0000
entity_overlap_count,6.0000
