feature,importance
hybrid_score,233.0000
bm25_rank_score,183.0000
medcpt_rank_score,135.0000
hypergraph_x_inverse_rank,134.0000
base_rank_score,120.0000
fielded_bm25_rank_score,120.0000
dense_rank_score,99.0000
dense_score,91.0000
medcpt_score,89.0000
mesh_specificity_x_inverse_rank,86.0000
bm25_score,75.0000
passage_mesh_count,74.0000
source_reason_shared_x_inverse_rank,59.0000
hypergraph_score_norm,55.0000
fielded_bm25_score,54.0000
shared_mesh_parent_cluster_size,53.0000
mesh_overlap_count,52.0000
hypergraph_degree_centrality_norm,52.0000
mesh_cluster_x_inverse_semantic,50.0000
biomedical_semantic_rank_score,41.0000
passage_entity_count,39.0000
biomedical_semantic_score,36.0000
mesh_jaccard,31.0000
passage_mesh_specificity,29.0000
shared_mesh_term_cluster_size,27.0000
entity_overlap_x_semantic_score,26.0000
question_entity_coverage,23.0000
source_reason_shared_candidate_concept,20.0000
mesh_sibling_match_count,19.0000
source_reason_total,18.0000
