setting,types,direct,shared,combined_filter,max_df_ratio,seed_top_n,recall@100,recall@200,recall@300,new_gold@200,new_gold@300,queries_new_gold@200,queries_new_gold@300,added@200,added@300,added_non_gold@200,added_non_gold@300,noise@200,noise@300
pubtator_combined_lowdf_0.01_seed10,"chemical,disease,gene",True,True,True,0.01,10,0.8174,0.8174,0.8174,0,0,0,0,355,520,355,520,1.000000,1.000000
pubtator_combined_lowdf_0.01_seed20,"chemical,disease,gene",True,True,True,0.01,20,0.8174,0.8174,0.8174,0,0,0,0,503,798,503,798,1.000000,1.000000
pubtator_combined_lowdf_0.01_seed25,"chemical,disease,gene",True,True,True,0.01,25,0.8174,0.8174,0.8174,0,0,0,0,536,873,536,873,1.000000,1.000000
pubtator_combined_lowdf_0.01_seed5,"chemical,disease,gene",True,True,True,0.01,5,0.8174,0.8174,0.8174,0,0,0,0,314,401,314,401,1.000000,1.000000
pubtator_combined_lowdf_0.02_seed10,"chemical,disease,gene",True,True,True,0.02,10,0.8174,0.8174,0.8174,0,0,0,0,355,520,355,520,1.000000,1.000000
pubtator_combined_lowdf_0.02_seed20,"chemical,disease,gene",True,True,True,0.02,20,0.8174,0.8174,0.8174,0,0,0,0,503,798,503,798,1.000000,1.000000
pubtator_combined_lowdf_0.02_seed25,"chemical,disease,gene",True,True,True,0.02,25,0.8174,0.8174,0.8174,0,0,0,0,536,873,536,873,1.000000,1.000000
pubtator_combined_lowdf_0.02_seed5,"chemical,disease,gene",True,True,True,0.02,5,0.8174,0.8174,0.8174,0,0,0,0,314,401,314,401,1.000000,1.000000
pubtator_combined_lowdf_0.05_seed10,"chemical,disease,gene",True,True,True,0.05,10,0.8174,0.8174,0.8174,0,0,0,0,355,520,355,520,1.000000,1.000000
pubtator_combined_lowdf_0.05_seed20,"chemical,disease,gene",True,True,True,0.05,20,0.8174,0.8174,0.8174,0,0,0,0,503,798,503,798,1.000000,1.000000
pubtator_combined_lowdf_0.05_seed25,"chemical,disease,gene",True,True,True,0.05,25,0.8174,0.8174,0.8174,0,0,0,0,536,873,536,873,1.000000,1.000000
