method,k,metric,Recall@k,source_table,notes
BM25,1,Recall@1,0.16930983364879434,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,3,Recall@3,0.2865783874326336,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,5,Recall@5,0.3594069651598513,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,10,Recall@10,0.4486718733441511,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,20,Recall@20,0.5128409087050664,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,50,Recall@50,0.5632782285875287,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
BM25,100,Recall@100,0.5853259543376286,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,1,Recall@1,0.1626739481483976,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,3,Recall@3,0.26996268554327746,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,5,Recall@5,0.33577022670403434,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,10,Recall@10,0.42053296160560266,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,20,Recall@20,0.48086467655737103,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,50,Recall@50,0.537518857506044,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Dense,100,Recall@100,0.5647639685432572,results/metrics/kch_medrank_enhanced_bioasq_v2_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Enhanced Hybrid RRF,1,Recall@1,0.1711912710652724,results/metrics/enhanced_hybrid_w122_test_top100_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
Enhanced Hybrid RRF,3,Recall@3,0.2933094855239931,results/metrics/enhanced_hybrid_w122_test_top100_metrics.json,Values are read from held-out BioASQ metric logs; k=10 and k=100 match manuscript main-result rows where reported.
